"DateTime","США"
2020-10-28 00:00:00,85809
2020-10-29 00:00:00,91447
2020-10-30 00:00:00,99972
2020-10-31 00:00:00,88665
2020-11-01 00:00:00,76275
2020-11-02 00:00:00,82845
2020-11-03 00:00:00,123535
2020-11-04 00:00:00,100623
2020-11-05 00:00:00,128379
2020-11-06 00:00:00,124964
2020-11-07 00:00:00,128465
2020-11-08 00:00:00,117900
2020-11-09 00:00:00,120569
2020-11-10 00:00:00,135275
2020-11-11 00:00:00,146665
2020-11-12 00:00:00,159292
2020-11-13 00:00:00,178118
2020-11-14 00:00:00,165251
2020-11-15 00:00:00,138943
2020-11-16 00:00:00,156350
2020-11-17 00:00:00,162607
2020-11-18 00:00:00,172207
2020-11-19 00:00:00,192107
2020-11-20 00:00:00,200950
2020-11-21 00:00:00,181165
2020-11-22 00:00:00,146054
2020-11-23 00:00:00,183116
2020-11-24 00:00:00,172643
2020-11-25 00:00:00,180197
2020-11-26 00:00:00,116602
2020-11-27 00:00:00,213603
2020-11-28 00:00:00,170330
2020-11-29 00:00:00,138012
2020-11-30 00:00:00,157393
2020-12-01 00:00:00,195989
2020-12-02 00:00:00,197126
2020-12-03 00:00:00,219599
2020-12-04 00:00:00,234672
2020-12-05 00:00:00,223934
2020-12-06 00:00:00,178293
2020-12-07 00:00:00,196568
2020-12-08 00:00:00,224520
2020-12-09 00:00:00,220639
2020-12-10 00:00:00,234151
2020-12-11 00:00:00,240458
2020-12-12 00:00:00,222463
2020-12-13 00:00:00,191846
2020-12-14 00:00:00,212054
2020-12-15 00:00:00,223199
2020-12-16 00:00:00,236809
2020-12-17 00:00:00,238982
2020-12-18 00:00:00,250499
2020-12-19 00:00:00,198794
2020-12-20 00:00:00,193421
2020-12-21 00:00:00,200925
2020-12-22 00:00:00,203449
2020-12-23 00:00:00,222520
2020-12-24 00:00:00,211528
2020-12-25 00:00:00,120705
2020-12-26 00:00:00,226988
2020-12-27 00:00:00,135776
2020-12-28 00:00:00,173625
2020-12-29 00:00:00,202593
2020-12-30 00:00:00,219911
2020-12-31 00:00:00,312022
2021-01-01 00:00:00,172389
2021-01-02 00:00:00,282395
2021-01-03 00:00:00,204017
2021-01-04 00:00:00,185531
2021-01-05 00:00:00,229830
2021-01-06 00:00:00,260228
2021-01-07 00:00:00,287874
2021-01-08 00:00:00,304501
2021-01-09 00:00:00,263448
2021-01-10 00:00:00,212946
2021-01-11 00:00:00,203636
2021-01-12 00:00:00,220490
2021-01-13 00:00:00,229793
2021-01-14 00:00:00,234461
2021-01-15 00:00:00,247927
2021-01-16 00:00:00,215544
2021-01-17 00:00:00,178539
2021-01-18 00:00:00,141582
2021-01-19 00:00:00,154484
2021-01-20 00:00:00,188540
2021-01-21 00:00:00,191356
2021-01-22 00:00:00,193247
2021-01-23 00:00:00,177842
2021-01-24 00:00:00,141438
2021-01-25 00:00:00,129426
2021-01-26 00:00:00,149850
2021-01-27 00:00:00,156142
2021-01-28 00:00:00,164602
2021-01-29 00:00:00,166998
2021-01-30 00:00:00,149717
2021-01-31 00:00:00,113831
2021-02-01 00:00:00,124888
2021-02-02 00:00:00,117853
2021-02-03 00:00:00,122875
2021-02-04 00:00:00,125311
2021-02-05 00:00:00,131566
2021-02-06 00:00:00,116343
2021-02-07 00:00:00,90479
2021-02-08 00:00:00,82772
2021-02-09 00:00:00,94167
2021-02-10 00:00:00,95992
2021-02-11 00:00:00,106011
2021-02-12 00:00:00,100924
2021-02-13 00:00:00,90919
2021-02-14 00:00:00,68402
2021-02-15 00:00:00,55734
2021-02-16 00:00:00,59025
2021-02-17 00:00:00,68674
2021-02-18 00:00:00,72177
2021-02-19 00:00:00,75519
2021-02-20 00:00:00,73783
2021-02-21 00:00:00,55534
2021-02-22 00:00:00,55344
2021-02-23 00:00:00,73234
2021-02-24 00:00:00,74768
2021-02-25 00:00:00,77603
2021-02-26 00:00:00,75891
2021-02-27 00:00:00,71256
2021-02-28 00:00:00,52029
2021-03-01 00:00:00,50530
2021-03-02 00:00:00,57510
2021-03-03 00:00:00,67344
2021-03-04 00:00:00,68884
2021-03-05 00:00:00,68127
2021-03-06 00:00:00,61146
2021-03-07 00:00:00,42147
2021-03-08 00:00:00,43381
2021-03-09 00:00:00,55490
2021-03-10 00:00:00,57528
2021-03-11 00:00:00,61934
2021-03-12 00:00:00,63058
2021-03-13 00:00:00,55400
2021-03-14 00:00:00,38626
2021-03-15 00:00:00,53155
2021-03-16 00:00:00,53496
2021-03-17 00:00:00,60050
2021-03-18 00:00:00,61643
2021-03-19 00:00:00,61710
2021-03-20 00:00:00,58159
2021-03-21 00:00:00,34623
2021-03-22 00:00:00,49073
2021-03-23 00:00:00,53171
2021-03-24 00:00:00,87475
2021-03-25 00:00:00,68017
2021-03-26 00:00:00,76192
2021-03-27 00:00:00,63348
2021-03-28 00:00:00,45499
2021-03-29 00:00:00,67399
2021-03-30 00:00:00,61369
2021-03-31 00:00:00,68984
2021-04-01 00:00:00,77420
2021-04-02 00:00:00,73001
2021-04-03 00:00:00,64047
2021-04-04 00:00:00,37355
2021-04-05 00:00:00,69430
2021-04-06 00:00:00,62549
2021-04-07 00:00:00,75687
2021-04-08 00:00:00,80461
2021-04-09 00:00:00,84448
2021-04-10 00:00:00,69827
2021-04-11 00:00:00,46787
2021-04-12 00:00:00,63616
2021-04-13 00:00:00,81227
2021-04-14 00:00:00,75028
2021-04-15 00:00:00,74123
2021-04-16 00:00:00,80677
2021-04-17 00:00:00,54870
2021-04-18 00:00:00,43279
2021-04-19 00:00:00,62891
2021-04-20 00:00:00,62135
2021-04-21 00:00:00,64251
2021-04-22 00:00:00,66901
2021-04-23 00:00:00,63191
2021-04-24 00:00:00,54289
2021-04-25 00:00:00,34141
2021-04-26 00:00:00,43133
2021-04-27 00:00:00,52353
2021-04-28 00:00:00,55144
2021-04-29 00:00:00,58866
2021-04-30 00:00:00,58003
2021-05-01 00:00:00,48264
2021-05-02 00:00:00,30069
2021-05-03 00:00:00,45873
2021-05-04 00:00:00,42566
2021-05-05 00:00:00,45779
2021-05-06 00:00:00,46601
2021-05-07 00:00:00,48179
2021-05-08 00:00:00,35157
2021-05-09 00:00:00,22491
2021-05-10 00:00:00,33191
2021-05-11 00:00:00,35204
2021-05-12 00:00:00,35921
2021-05-13 00:00:00,38888
2021-05-14 00:00:00,42046
2021-05-15 00:00:00,30398
2021-05-16 00:00:00,17431
2021-05-17 00:00:00,25821
2021-05-18 00:00:00,28784
2021-05-19 00:00:00,29502
2021-05-20 00:00:00,30099
2021-05-21 00:00:00,28690
2021-05-22 00:00:00,20945
2021-05-23 00:00:00,13530
2021-05-24 00:00:00,22256
2021-05-25 00:00:00,24525
2021-05-26 00:00:00,24519
2021-05-27 00:00:00,26837
2021-05-28 00:00:00,22230
2021-05-29 00:00:00,13149
2021-05-30 00:00:00,7186
2021-05-31 00:00:00,6078
2021-06-01 00:00:00,20979
2021-06-02 00:00:00,16698
2021-06-03 00:00:00,18370
2021-06-04 00:00:00,17808
2021-06-05 00:00:00,15446
2021-06-06 00:00:00,5921
2021-06-07 00:00:00,14159
2021-06-08 00:00:00,12944
2021-06-09 00:00:00,18542
2021-06-10 00:00:00,14928
2021-06-11 00:00:00,25000
2021-06-12 00:00:00,9041
2021-06-13 00:00:00,5185
2021-06-14 00:00:00,11542
2021-06-15 00:00:00,10866
2021-06-16 00:00:00,11873
2021-06-17 00:00:00,11597
2021-06-18 00:00:00,21282
2021-06-19 00:00:00,8933
2021-06-20 00:00:00,4839
2021-06-21 00:00:00,10665
2021-06-22 00:00:00,10682
2021-06-23 00:00:00,12620
2021-06-24 00:00:00,14315
2021-06-25 00:00:00,24389
2021-06-26 00:00:00,9316
2021-06-27 00:00:00,4524
2021-06-28 00:00:00,13655
2021-06-29 00:00:00,7010
2021-06-30 00:00:00,15182
2021-07-01 00:00:00,15009
2021-07-02 00:00:00,29692
2021-07-03 00:00:00,5150
2021-07-04 00:00:00,4098
2021-07-05 00:00:00,8715
2021-07-06 00:00:00,22754
2021-07-07 00:00:00,20088
2021-07-08 00:00:00,20784
2021-07-09 00:00:00,47581
2021-07-10 00:00:00,9730
2021-07-11 00:00:00,11524
2021-07-12 00:00:00,30022
2021-07-13 00:00:00,26319
2021-07-14 00:00:00,31227
2021-07-15 00:00:00,31763
2021-07-16 00:00:00,77331
2021-07-17 00:00:00,13496
2021-07-18 00:00:00,20593
2021-07-19 00:00:00,49783
2021-07-20 00:00:00,39387
2021-07-21 00:00:00,47595
2021-07-22 00:00:00,56389
2021-07-23 00:00:00,120768
2021-07-24 00:00:00,27500
2021-07-25 00:00:00,27097
2021-07-26 00:00:00,80832
2021-07-27 00:00:00,64824
2021-07-28 00:00:00,73145
2021-07-29 00:00:00,72829
2021-07-30 00:00:00,190580
2021-07-31 00:00:00,41915
2021-08-01 00:00:00,42888
2021-08-02 00:00:00,112414
2021-08-03 00:00:00,96732
2021-08-04 00:00:00,102985
2021-08-05 00:00:00,109108
2021-08-06 00:00:00,251310
2021-08-07 00:00:00,60479
2021-08-08 00:00:00,32729
2021-08-09 00:00:00,165466
2021-08-10 00:00:00,117226
2021-08-11 00:00:00,153014
2021-08-12 00:00:00,144980
2021-08-13 00:00:00,225981
2021-08-14 00:00:00,68264
2021-08-15 00:00:00,44054
2021-08-16 00:00:00,203843
2021-08-17 00:00:00,148854
2021-08-18 00:00:00,166596
2021-08-19 00:00:00,154417
2021-08-20 00:00:00,240034
2021-08-21 00:00:00,82516
2021-08-22 00:00:00,40175
2021-08-23 00:00:00,223090
2021-08-24 00:00:00,155103
2021-08-25 00:00:00,172463
2021-08-26 00:00:00,187691
2021-08-27 00:00:00,238487
2021-08-28 00:00:00,72898
2021-08-29 00:00:00,45624
2021-08-30 00:00:00,239545
2021-08-31 00:00:00,180280
2021-09-01 00:00:00,196675
2021-09-02 00:00:00,175865
2021-09-03 00:00:00,237333
2021-09-04 00:00:00,77141
2021-09-05 00:00:00,52245
2021-09-06 00:00:00,80535
2021-09-07 00:00:00,242277
2021-09-08 00:00:00,177921
2021-09-09 00:00:00,165431
2021-09-10 00:00:00,232296
2021-09-11 00:00:00,78132
2021-09-12 00:00:00,44926
2021-09-13 00:00:00,235250
2021-09-14 00:00:00,142677
2021-09-15 00:00:00,176360
2021-09-16 00:00:00,156931
2021-09-17 00:00:00,210610
2021-09-18 00:00:00,71312
2021-09-19 00:00:00,43178
2021-09-20 00:00:00,179286
2021-09-21 00:00:00,117068
2021-09-22 00:00:00,136609
2021-09-23 00:00:00,127577
2021-09-24 00:00:00,176559
2021-09-25 00:00:00,58989
2021-09-26 00:00:00,52260
2021-09-27 00:00:00,159767
2021-09-28 00:00:00,112718
2021-09-29 00:00:00,120972
2021-09-30 00:00:00,111344
2021-10-01 00:00:00,154614
2021-10-02 00:00:00,47004
2021-10-03 00:00:00,43605
2021-10-04 00:00:00,145471
2021-10-05 00:00:00,95371
2021-10-06 00:00:00,112990
2021-10-07 00:00:00,101457
2021-10-08 00:00:00,131725
2021-10-09 00:00:00,37702
2021-10-10 00:00:00,38910
2021-10-11 00:00:00,97491
2021-10-12 00:00:00,111132
2021-10-13 00:00:00,108855
2021-10-14 00:00:00,86983
2021-10-15 00:00:00,109841
2021-10-16 00:00:00,39238
2021-10-17 00:00:00,31083
2021-10-18 00:00:00,100040
2021-10-19 00:00:00,81282
2021-10-20 00:00:00,91953
2021-10-21 00:00:00,77932
2021-10-22 00:00:00,96383
2021-10-23 00:00:00,31839
2021-10-24 00:00:00,18573
2021-10-25 00:00:00,111124
2021-10-26 00:00:00,69230
2021-10-27 00:00:00,102378
2021-10-28 00:00:00,75757
2021-10-29 00:00:00,95135
2021-10-30 00:00:00,33870
2021-10-31 00:00:00,32029
2021-11-01 00:00:00,111482
2021-11-02 00:00:00,70970
2021-11-03 00:00:00,85373
2021-11-04 00:00:00,81737
2021-11-05 00:00:00,96696
2021-11-06 00:00:00,34607
2021-11-07 00:00:00,36314
2021-11-08 00:00:00,109044
2021-11-09 00:00:00,79972
2021-11-10 00:00:00,95714
2021-11-11 00:00:00,56672
2021-11-12 00:00:00,144835
2021-11-13 00:00:00,43509
2021-11-14 00:00:00,31221
2021-11-15 00:00:00,134823
2021-11-16 00:00:00,87075
2021-11-17 00:00:00,112690
2021-11-18 00:00:00,110202
2021-11-19 00:00:00,126926
2021-11-20 00:00:00,44805
2021-11-21 00:00:00,39235
2021-11-22 00:00:00,145664
2021-11-23 00:00:00,91290
2021-11-24 00:00:00,111545
2021-11-25 00:00:00,39058
2021-11-26 00:00:00,52706
2021-11-27 00:00:00,26017
2021-11-28 00:00:00,42510
2021-11-29 00:00:00,187743
2021-11-30 00:00:00,117338
2021-12-01 00:00:00,136997
2021-12-02 00:00:00,139223
2021-12-03 00:00:00,158649
2021-12-04 00:00:00,65594
2021-12-05 00:00:00,54268
2021-12-06 00:00:00,179487
2021-12-07 00:00:00,113242
2021-12-08 00:00:00,149672
2021-12-09 00:00:00,122449
2021-12-10 00:00:00,160678
2021-12-11 00:00:00,55832
2021-12-12 00:00:00,51317
2021-12-13 00:00:00,187085
2021-12-14 00:00:00,114824
2021-12-15 00:00:00,143579
2021-12-16 00:00:00,141601
2021-12-17 00:00:00,192768
2021-12-18 00:00:00,77785
2021-12-19 00:00:00,87794
2021-12-20 00:00:00,242418
2021-12-21 00:00:00,178375
2021-12-22 00:00:00,240739
2021-12-23 00:00:00,269736
2021-12-24 00:00:00,233455
2021-12-25 00:00:00,72805
2021-12-26 00:00:00,195707
2021-12-27 00:00:00,508608
2021-12-28 00:00:00,356004
2021-12-29 00:00:00,498385
2021-12-30 00:00:00,588268
2021-12-31 00:00:00,489839
2022-01-01 00:00:00,166270
2022-01-02 00:00:00,304127
2022-01-03 00:00:00,1076455
2022-01-04 00:00:00,805555
2022-01-05 00:00:00,644454
2022-01-06 00:00:00,814640
2022-01-07 00:00:00,856790
2022-01-08 00:00:00,385743
2022-01-09 00:00:00,475744
2022-01-10 00:00:00,1368382
2022-01-11 00:00:00,769245
2022-01-12 00:00:00,909536
2022-01-13 00:00:00,840125
2022-01-14 00:00:00,858951
2022-01-15 00:00:00,393581
2022-01-16 00:00:00,467356
2022-01-17 00:00:00,659592
2022-01-18 00:00:00,1103191
2022-01-19 00:00:00,991092
2022-01-20 00:00:00,704350
2022-01-21 00:00:00,817302
2022-01-22 00:00:00,284904
2022-01-23 00:00:00,354807
2022-01-24 00:00:00,895904
2022-01-25 00:00:00,429510
